Transaction ID,Date (YYYY-MM-DD),User ID,Book Title,Genre,Borrowing Duration (Days)
T001,2025-03-01,U156,AI Fundamentals,Technology,8
T002,2025-01-21,U126,Database SQL,Mystery,24
T003,2025-03-09,U105,Love Stories,Romance,8
T004,2025-03-21,U171,Data Science Intro,Technology,30
T005,2025-03-18,U160,Crime Thriller,Fiction,30
T006,2025-02-08,U167,Python Basics,History,10
T007,2025-02-26,U180,Ancient Civilizations,Technology,13
T008,2025-03-04,U166,Machine Learning Guide,Science,24
T009,2025-01-27,U133,Modern Tech,Mystery,21
T010,2025-02-24,U180,Robotics,Fiction,8
T011,2025-03-31,U124,Robotics,Technology,20
T012,2025-02-03,U131,Python Basics,Mystery,29
T013,2025-03-02,U193,Modern Tech,History,25
T014,2025-01-04,U119,World History,Fiction,9
T015,2025-01-06,U126,AI Fundamentals,History,5
T016,2025-02-04,U129,Love Stories,History,24
T017,2025-03-03,U147,Mystery Case,Romance,7
T018,2025-03-25,U134,Crime Thriller,Romance,5
T019,2025-01-08,U109,Data Science Intro,Science,13
T020,2025-03-09,U126,Mystery Case,Fiction,7
T021,2025-02-06,U194,Robotics,Mystery,17
T022,2025-02-13,U156,World History,Romance,21
T023,2025-02-18,U105,Love Stories,Technology,6
T024,2025-02-24,U107,Data Science Intro,Mystery,16
T025,2025-01-23,U159,AI Fundamentals,Science,20
T026,2025-01-06,U147,Love Stories,Romance,27
T027,2025-02-15,U134,Algorithm Design,History,26
T028,2025-01-08,U140,Space Science,History,16
T029,2025-03-10,U139,AI Fundamentals,Science,13
T030,2025-01-13,U193,Mystery Case,Science,14
T031,2025-02-21,U198,Robotics,Technology,16
T032,2025-03-08,U164,Python Basics,History,23
T033,2025-03-12,U123,Ancient Civilizations,Romance,11
T034,2025-01-05,U118,Modern Tech,Fiction,17
T035,2025-02-25,U144,Data Science Intro,Fiction,29
T036,2025-01-21,U136,Python Basics,Technology,29
T037,2025-03-17,U102,Machine Learning Guide,Fiction,20
T038,2025-02-17,U116,Space Science,Mystery,17
T039,2025-03-09,U125,AI Fundamentals,Romance,15
T040,2025-02-17,U172,Mystery Case,Science,11
T041,2025-03-15,U137,Data Science Intro,Technology,12
T042,2025-03-16,U116,Love Stories,Science,8
T043,2025-03-28,U147,Love Stories,Romance,13
T044,2025-01-21,U186,Crime Thriller,Mystery,11
T045,2025-03-21,U182,Space Science,Mystery,29
T046,2025-01-02,U105,AI Fundamentals,Technology,20
T047,2025-01-27,U116,Python Basics,History,11
T048,2025-02-01,U138,Robotics,History,21
T049,2025-03-13,U155,Mystery Case,Fiction,11
T050,2025-01-01,U190,Crime Thriller,Science,7
T051,2025-01-15,U175,Space Science,Mystery,29
T052,2025-03-14,U105,Mystery Case,Science,30
T053,2025-03-08,U180,Database SQL,Science,18
T054,2025-02-15,U182,Machine Learning Guide,Mystery,7
T055,2025-03-01,U124,Database SQL,Romance,28
T056,2025-02-24,U183,Algorithm Design,Science,23
T057,2025-01-05,U187,Space Science,History,27
T058,2025-03-24,U197,Crime Thriller,Fiction,11
T059,2025-02-11,U186,Deep Learning,Fiction,18
T060,2025-03-18,U167,Deep Learning,History,8
T061,2025-03-02,U125,Mystery Case,History,9
T062,2025-03-11,U134,Robotics,History,8
T063,2025-01-24,U110,Mystery Case,Romance,11
